N,b1,N_ratio,lambdax,beta1,omega1,omega2,bias.reg.est,bias.fspa.est,bias.croon2.est,bias.sem2.est,bias.2spa.est,bias.2spae.est,bias.2spabart.est,bias.2spabarte.est,bias.2spauw.est,rmse.reg.est,rmse.fspa.est,rmse.croon2.est,rmse.sem2.est,rmse.2spa.est,rmse.2spae.est,rmse.2spabart.est,rmse.2spabarte.est,rmse.2spauw.est,rsb.reg.se,rsb.fspa.se,rsb.croon2.se,rsb.sem2.se,rsb.2spa.se,rsb.2spae.se,rsb.2spabart.se,rsb.2spabarte.se,rsb.2spauw.se,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,REPLICATIONS,SIM_TIME,COMPLETED,SEED,ERRORS,WARNINGS
40,0,1,0.7,0,0.4930704563489607,0.6068372851320363,-0.0016028411169977577,-3.2664148678860093e-4,-2.780501142560107e-4,-4.675987469370143e-4,-0.0021017080535463886,5.791155931241348e-4,-2.0500321880869073e-5,1.2431001383220824e-5,-4.2322558142827234e-4,0.11424424055929382,0.11741789476523472,0.1358953624605146,0.15728728807782225,0.15299000539323226,0.15073374807156226,0.14385671944238357,0.14888291630586414,0.1449942301665316,-0.02390894795667213,-0.03161789394668624,-0.017775650104992834,-0.11255258958225282,-0.09160753477930351,-0.061269527402941795,-0.04136808086348962,-0.04211100255706402,-0.023523879079519066,0.9428,0.9408,0.9476,0.9136,0.94,0.94,0.9388,0.938,0.9476,2500,485.57,Tue Jul 26 22:52:00 2022,198300,50,73
80,0,1,0.7,0,0.4930704563489607,0.6068372851320363,0.0027779122220906124,0.0029796627103883225,0.0038109302115873827,0.0041080440752668404,0.003841020741638949,0.00375994218954779,0.0034759040299806084,0.003510175831972411,0.003264649497879246,0.08067524185650199,0.08139503552452952,0.09836441038473838,0.10422199278465362,0.10264181004096658,0.10480252528629885,0.10205125252276004,0.10363061930376914,0.10270050578597392,-0.01675895669044123,-0.013867994521296894,-0.01271005969588107,-0.049801751981790016,-0.03575136586241344,-0.046397511629751705,-0.01858702372704168,-0.018901095983880865,-0.01920014047400923,0.948,0.9512,0.9508,0.9364,0.9512,0.9512,0.9512,0.9508,0.9492,2500,517.418,Tue Jul 26 23:00:38 2022,198300,2,0
400,0,1,0.7,0,0.4930704563489607,0.6068372851320363,0.0018352038389147112,0.001857256143238432,0.0022944247639211054,0.0023078937851276245,0.0023157574960668047,0.0023187868142032658,0.0023522423825526662,0.002358658664159611,0.002389212284045094,0.035466056668562486,0.03555099586886936,0.04397958178386034,0.044212105255306035,0.04402706033053335,0.04408519541368245,0.044897371158622926,0.045022463710995934,0.04505650652155973,0.007123502623642353,0.0100867377461127,0.004996362363121491,0.0031956988274047457,0.00930178302301917,0.009299804841301593,0.008602418513102889,0.008593429359023628,0.006194239979049728,0.9552,0.9516,0.9496,0.9504,0.9508,0.9508,0.9504,0.9508,0.9532,2500,790.013,Tue Jul 26 23:13:48 2022,198300,0,0
800,0,1,0.7,0,0.4930704563489607,0.6068372851320363,4.5337838249280153e-4,3.6492750615626797e-4,4.4853932098845356e-4,4.5049972505545853e-4,4.566783181043405e-4,4.56988816003258e-4,4.738372186675263e-4,4.7455894653311125e-4,6.032249521792816e-4,0.024914050288960914,0.024987444211289293,0.03093070390972976,0.030977701865565768,0.030980779940466125,0.031001033594068892,0.03152122193554515,0.03156443874737421,0.031658783500450975,0.012832811931367719,0.013965461370870638,0.01066361230884651,0.010726493206064107,0.014292818287010347,0.014293286996328326,0.014247941469942736,0.014247086512761478,0.012035463277488785,0.9584,0.9552,0.958,0.954,0.9552,0.9552,0.9556,0.9556,0.9572,2500,1123.077,Tue Jul 26 23:32:31 2022,198300,0,0
40,0.5,1,0.7,0.5573374202401988,0.4930704563489607,0.6068372851320363,-0.1202383964716657,-0.14296255440238806,-0.08193992891679977,-0.006111224070695938,-0.06416908374934237,-0.054038257517780706,-0.05601904845086119,-0.03938491726484965,-0.018391993432827387,0.16312311298258672,0.18569864773955308,0.15980555447907704,0.14996713474585344,0.1630106645697228,0.17338248580253302,0.16475353788047575,0.16774441313771293,0.1489541237408337,-0.009909546030278953,-0.05428949243982906,-0.08170860699022683,-0.0950985267424247,-0.09838120412357516,-0.14691219528215996,-0.16142868243546593,-0.17376565708389757,-0.07494182102700583,0.8168,0.7528,0.8704000000000001,0.924,0.8964,0.9028,0.8744000000000001,0.8928,0.946,2500,510.44399999999996,Tue Jul 26 23:41:01 2022,198300,49,42
80,0.5,1,0.7,0.5573374202401988,0.4930704563489607,0.6068372851320363,-0.11444547955025777,-0.12267114019633503,-0.0390117107928499,-2.79990007795117e-4,-0.026782626011240762,-0.02251673822287348,-0.016579365331002995,-0.008467313744001146,-0.0029263180744527055,0.14009984372119708,0.14816469822450215,0.10621449523321887,0.10110525622588122,0.11159495803190657,0.11509629064216173,0.109346980574288,0.11084573148354485,0.097848816958406,-0.036815314460828266,-0.04960319885309992,-0.07884187600092163,-0.056860801658712753,-0.10649051220808799,-0.1338802809940613,-0.1326608111261998,-0.13800235172603928,-0.004096896772000051,0.6963999999999999,0.6708000000000001,0.9124,0.9336,0.9256,0.9284,0.9148000000000001,0.9124,0.9464,2500,540.817,Tue Jul 26 23:50:02 2022,198300,1,0
400,0.5,1,0.7,0.5573374202401988,0.4930704563489607,0.6068372851320363,-0.11453933999441007,-0.11445673452434191,-0.015637735476877353,-0.003549265684266296,-0.010567990894939719,-0.009847189151532588,1.3160160305271978e-4,0.0016713433190272203,0.0019895082614435756,0.11971429382946361,0.11982500231019699,0.045471701702002196,0.04290215535222361,0.04419135220493123,0.044084269040104394,0.04566999442907954,0.04586372916609163,0.042493459088173244,0.0037239374291908557,-0.008881133514570098,-0.0373675001815487,-0.011580390192699032,0.0046717184605312104,0.004578438907668632,-0.08122244879522686,-0.08187073776346586,0.03213691704845317,0.1008,0.10919999999999996,0.9228000000000001,0.9448,0.9456,0.9452,0.9299999999999999,0.9276,0.9596,2500,821.2929999999997,Wed Jul 27 00:03:43 2022,198300,0,0
800,0.5,1,0.7,0.5573374202401988,0.4930704563489607,0.6068372851320363,-0.11528991480194534,-0.11445529521758255,-0.013710684284304019,-0.004727154358416908,-0.009133015030786416,-0.008774343375955944,6.211779821313997e-4,0.001382665129186502,0.0018805325686023196,0.11786056483754945,0.11714618804070784,0.03299137373077659,0.030155487377313755,0.031265402787729143,0.031182533629829458,0.031646208175809536,0.03172424675584138,0.02964724404436336,0.009462400661122486,-0.005780342317125926,-0.03063196165519594,0.0017793458406792926,0.020478050977628184,0.020440743760466028,-0.06344041886317349,-0.06371644693082808,0.048181857580121557,0.006399999999999961,0.006000000000000005,0.922,0.948,0.9492,0.9496,0.9356,0.9356,0.9588,2500,1174.2000000000007,Wed Jul 27 00:23:17 2022,198300,0,0
40,0,0.6,0.7,0,0.4930704563489607,0.6068372851320363,-9.213659552284831e-4,-7.39112369352204e-4,-4.209034344631367e-4,-7.853574322726329e-4,2.3687804417671526e-4,-5.416526700011739e-4,-9.799244232664278e-4,-0.0011295350414783506,3.971082302793519e-4,0.11509239374705588,0.11822756404385239,0.13905807212734816,0.16291236548699523,0.14284868456799207,0.14655971254725822,0.14762449939851136,0.15391101912882374,0.15176856757746002,-0.029922517883772277,-0.03526767656028519,-0.027097976426250517,-0.12995290281991603,-0.04081756354377294,-0.04421323384043167,-0.04891205166294594,-0.05319355344386216,-0.030081599593280713,0.9412,0.9424,0.946,0.9072,0.9424,0.9416,0.942,0.9412,0.9396,2500,547.549,Wed Jul 27 00:32:25 2022,198300,42,21
80,0,0.6,0.7,0,0.4930704563489607,0.6068372851320363,0.004295663762628219,0.004694144550667651,0.005428511699363988,0.006176862303280489,0.006931461903122137,0.0060712672022573515,0.0061067081031968215,0.006208156746681305,0.005703751079466889,0.07915552632806333,0.07912141835138797,0.09645771943845625,0.10321164371178879,0.09820007789375843,0.0991782810573731,0.10115002055693063,0.10289598938263324,0.10262279065740769,0.00382137749836472,0.01777816429623081,0.022172698055084455,-0.023676508110571995,0.016399405069581548,0.015422645980632583,0.009347213029090142,0.00862687938065497,0.0017085179055962752,0.9496,0.9524,0.9512,0.9404,0.952,0.952,0.952,0.9528,0.9492,2500,579.8459999999995,Wed Jul 27 00:42:05 2022,198300,3,0
